ID,Name,SKU,Optional Offer Type,Categories,Description,Short description,Shipping class,Price,Shipping Price,Shipping counts for each unit (Yes/No),Published,Additional Unit Price,Additional Unit Shipping Price,Bonus Shipping Price,Max Quantity Per Order,Continuity,Not Show To Customer
104,MainOfferFreeShippingFullBlueDISC,EBFLBLMAINB,,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” BLUE - 50% OFF",Full - $24.97,Blue,$24.97,$9.95,yes,0,,,,10,,
105,MainOfferFreeShippingFullBurgundyDISC,EBFLBRMAINB,,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” BURGUNDY - 50% OFF",Full - $24.97,Burgundy,$24.97,$9.95,yes,0,,,,10,,
106,MainOfferFreeShippingFullWhiteDISC,MainFullWhite,,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” WHITE - 50% OFF",Full - $24.97,White,$24.97,$9.95,yes,0,,,,10,,
107,MainOfferFreeShippingFullLavenderDISC,MainFullLav,,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” LAVENDER - 50% OFF",Full - $24.97,Lavender,$24.97,$9.95,yes,0,,,,10,,
108,MainOfferFreeShippingFullDarkGrayDISC,EBFLDKGRAYMAINB,,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” DARK GRAY - 50% OFF",Full - $24.97,Dark Gray,$24.97,$9.95,yes,0,,,,10,,
109,MainOfferFreeShippingFullSageGreenDISC,MainFullSGGREEN,,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” SAGE GREEN - 50% OFF",Full - $24.97,Sage Green,$24.97,$9.95,yes,0,,,,10,,
110,MainOfferFreeShippingFullSandShellDISC,MainFullSDSHELL,,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” SAND SHELL - 50% OFF",Full - $24.97,Sand Shell,$24.97,$9.95,yes,0,,,,10,,
111,MainOfferFreeShippingQueenCreamDISC,EBQNCRMAINB,,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” CREAM - 50% OFF",Queen - $29.97,Cream,$29.97,$9.95,yes,0,,,,10,,
112,MainOfferFreeShippingQueenCamelDISC,EBQNCMMAINB,,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” CAMEL - 50% OFF",Queen - $29.97,Camel,$29.97,$9.95,yes,0,,,,10,,
113,MainOfferFreeShippingQueenBrownDISC,EBQNBWMAINB,,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” BROWN - 50% OFF",Queen - $29.97,Brown,$29.97,$9.95,yes,0,,,,10,,
