ID,Name,SKU,Type,Description,Short description,Shipping class,Price,Shipping Price,Shipping counts for each unit (Yes/No),Max Quantity Per Order
13,MainOfferFreeShippingTwinXLBrown,MaintwinXLBrown,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” BROWN",Twin XL - $39.95,Brown,39.95,9.95,yes,0
14,MainOfferFreeShippingTwinXLBlue,MaintwinXLBlue,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” BLUE",Twin XL - $39.95,Blue,39.95,9.95,yes,1
15,MainOfferFreeShippingTwinXLBurgundy,MaintwinXLBurgundy,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” BURGUNDY",Twin XL - $39.95,Burgundy,39.95,9.95,yes,0
16,MainOfferFreeShippingTwinXLWhite,MaintwinXLWhite,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” WHITE",Twin XL - $39.95,White,39.95,9.95,yes,1
17,MainOfferFreeShippingTwinXLLavender,MaintwinXLLav,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” LAVENDER",Twin XL - $39.95,Lavender,39.95,9.95,yes,1
18,MainOfferFreeShippingTwinXLDarkGray,MaintwinXLDKGRAY,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” DARK GRAY",Twin XL - $39.95,Dark Gray,39.95,9.95,yes,1
19,MainOfferFreeShippingTwinXLSageGreen,MaintwinXLSGGREEN,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” SAGE GREEN",Twin XL - $39.95,Sage Green,39.95,9.95,yes,1
20,MainOfferFreeShippingTwinXLSandShell,MaintwinXLSDSHELL,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” SAND SHELL",Twin XL - $39.95,Sand Shell,39.95,9.95,yes,1
21,MainOfferFreeShippingFullCream,EBFLCRMAINB,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” CREAM",Full - $49.95,Cream,49.95,9.95,yes,0
22,MainOfferFreeShippingFullCamel,EBFLCMMAINB,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” CAMEL",Full - $49.95,Camel,49.95,9.95,yes,0
23,MainOfferFreeShippingFullBrown,EBFLBWMAINB,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” BROWN",Full - $49.95,Brown,49.95,9.95,yes,0
24,MainOfferFreeShippingFullBlue,EBFLBLMAINB,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” BLUE",Full - $49.95,Blue,49.95,9.95,yes,1
25,MainOfferFreeShippingFullBurgundy,EBFLBRMAINB,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” BURGUNDY",Full - $49.95,Burgundy,49.95,9.95,yes,0
26,MainOfferFreeShippingFullWhite,MainFullWhite,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” WHITE",Full - $49.95,White,49.95,9.95,yes,1
27,MainOfferFreeShippingFullLavender,MainFullLav,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” LAVENDER",Full - $49.95,Lavender,49.95,9.95,yes,1
28,MainOfferFreeShippingFullDarkGray,EBFLDKGRAYMAINB,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” DARK GRAY",Full - $49.95,Dark Gray,49.95,9.95,yes,0
29,MainOfferFreeShippingFullSageGreen,MainFullSGGREEN,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” SAGE GREEN",Full - $49.95,Sage Green,49.95,9.95,yes,0
30,MainOfferFreeShippingFullSandShell,MainFullSDSHELL,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” SAND SHELL",Full - $49.95,Sand Shell,49.95,9.95,yes,1
31,MainOfferFreeShippingQueenCream,EBQNCRMAINB,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” CREAM",Queen - $59.95,Cream,59.95,9.95,yes,0
32,MainOfferFreeShippingQueenCamel,EBQNCMMAINB,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” CAMEL",Queen - $59.95,Camel,59.95,9.95,yes,0
33,MainOfferFreeShippingQueenBrown,EBQNBWMAINB,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” BROWN",Queen - $59.95,Brown,59.95,9.95,yes,0
34,MainOfferFreeShippingQueenBlue,EBQNBLMAINB,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” BLUE",Queen - $59.95,Blue,59.95,9.95,yes,1
35,MainOfferFreeShippingQueenBurgundy,EBQNBRMAINB,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” BURGUNDY",Queen - $59.95,Burgundy,59.95,9.95,yes,0
36,MainOfferFreeShippingQueenWhite,MainQueenWhite,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” WHITE",Queen - $59.95,White,59.95,9.95,yes,1
37,MainOfferFreeShippingQueenLavender,MainQueenLav,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” LAVENDER",Queen - $59.95,Lavender,59.95,9.95,yes,0
