ID,Name,SKU,Type,Description,Short description,Shipping class,Price,Shipping Price,Shipping counts for each unit (Yes/No),Max Quantity Per Order
59,MainOfferFreeShippingCaSageGreen,MainCASGGREEN,California King,"CA -King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-108” x L-110”, (1) fitted sheet W-72” x L-84” x D-18”, (2) pillow cases 20” x 40” SAGE GREEN",California King - $79.95,Sage Green,79.95,9.95,yes,1
60,MainOfferFreeShippingCaSandShell,MainCASDSHELL,California King,"CA -King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-108” x L-110”, (1) fitted sheet W-72” x L-84” x D-18”, (2) pillow cases 20” x 40” SAND SHELL",California King - $79.95,Sand Shell,79.95,9.95,yes,1
61,BlanketTwin/TwinXLPinkLeopard,TwinBlankPL,Twin/Twin XL,"Effortless Patented Semi-fitted Plush Blanket Twin/TwinXL W-68” x L-98"" Pink Leopard",Twin/Twin XL - $79.95,Pink Leopard Blanket,79.95,9.95,yes,1
62,BlanketFullPinkLeopard,FullBlankPL,Full,Effortless Patented Semi-fitted Plush Blanket Full W-88” x L-98” Pink Leopard,Full - $79.95,Leopard,79.95,9.95,yes,1
63,BlanketQueenPinkLeopard,QueenBlankL,Queen,Effortless Patented Semi-fitted Plush Blanket Queen W-94” x L-108” Pink Leopard,Queen - $79.95,Leopard,79.95,9.95,yes,0
64,BlanketKingPinkLeopard,KingBlankL,King,Effortless Patented Semi-fitted Plush Blanket King W-112” x L-108”  Pink Leopard,King - $89.95,Leopard,89.95,9.95,yes,1
65,BlanketCAKingPinkLeopard,CABlankL,California King,Effortless Patented Semi-fitted Plush Blanket CA King W-108” x L-110” Pink Leopard,California King - $89.95,Leopard,89.95,9.95,yes,0
66,BlanketTwin/TwinXLSandShell,TwinBlankSand,Twin/Twin XL,"Effortless Patented Semi-fitted Plush Blanket Blanket Twin/TwinXL W-68” x L-98"" Sand Shell",Twin/Twin XL - $79.95,Sand,79.95,9.95,yes,0
67,BlanketFullSandShell,FullBlankSand,Full,Effortless Patented Semi-fitted Plush Blanket Blanket Full W-88” x L-98” Sand Shell,Full - $79.95,Sand,79.95,9.95,yes,1
68,BlanketQueenSandShell,QueenBlankSand,Queen,Effortless Patented Semi-fitted Plush Blanket Blanket Queen W-94” x L-108” Sand Shell,Queen - $79.95,Sand,79.95,9.95,yes,1
69,BlanketKingSandShell,KingBlankSand,King,Effortless Patented Semi-fitted Plush Blanket Blanket King W-112” x L-108” Sand Shell,King - $89.95,Sand,89.95,9.95,yes,1
70,BlanketCAKingSandShell,CABlankSand,California King,Effortless Patented Semi-fitted Plush Blanket CA King W-108” x L-110” Sand Shell,California King - $89.95,Sand,89.95,9.95,yes,1
71,BlanketTwin/TwinXLBlue,TwinBlankBlue,Twin/Twin XL,"Effortless Patented Semi-fitted Plush Blanket Twin/TwinXL W-68” x L-98"" Blue",Twin/Twin XL - $79.95,Blue,79.95,9.95,yes,0
72,BlanketFullBlue,FullBlankBlue,Full,Effortless Patented Semi-fitted Plush Blanket Blanket Full W-88” x L-98” Blue,Full - $79.95,Blue,79.95,9.95,yes,1
73,BlanketQueenBlue,QueenBlankBlue,Queen,Effortless Patented Semi-fitted Plush Blanket Blanket Queen W-94” x L-108” Blue,Queen - $79.95,Blue,79.95,9.95,yes,1
74,BlanketKingBlue,KingBlankBlue,King,Effortless Patented Semi-fitted Plush Blanket Blanket King W-112” x L-108” Blue,King - $89.95,Blue,89.95,9.95,yes,1
75,BlanketCAKingBlue,CABlankBlue,California King,Effortless Patented Semi-fitted Plush Blanket Blanket CA King W-108” x L-110” Blue,California King - $89.95,Blue,89.95,9.95,yes,0
76,MattressTopperTwin/TwinXL,MATTOP-TWIN,Twin/Twin XL,Effortless Bedding Mattress Topper Twin/TwinXL,Twin/Twin XL - $89.95,White,89.95,0,yes,1
77,MattressTopperFull,MATTOP-FULL,Full,Effortless Bedding Mattress Topper Full,Full - $89.95,White,89.95,0,yes,1
78,MattressTopperQueen,MATTOP-QUEEN,Queen,Effortless Bedding Mattress Topper Queen,Queen - $89.95,White,89.95,0,yes,1
79,MattressTopperKing,MATTOP-KING,King,Effortless Bedding Mattress Topper King,King - $89.95,White,89.95,0,yes,1
80,Surcharge,SURCHARGE,,Shipping Surcharge AK/HI/PR/GU/VI/Canada,Shipping Surcharge,,0,19.95,yes,1
81,MainOfferFreeShippingTwinCreamDISC,EBTWCRMAINA,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” CREAM - 50% OFF",Twin - $9.97,Cream,9.97,9.95,yes,10
82,MainOfferFreeShippingTwinCamelDISC,EBTWCMMAINA,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” CAMEL - 50% OFF",Twin - $9.97,Camel,9.97,9.95,yes,10
83,MainOfferFreeShippingTwinBrownDISC,EBTWBWMAINA,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” BROWN - 50% OFF",Twin - $9.97,Brown,9.97,9.95,yes,10
84,MainOfferFreeShippingTwinBlueDISC,EBTWBLMAINA,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” BLUE - 50% OFF",Twin - $9.97,Blue,9.97,9.95,yes,10
85,MainOfferFreeShippingTwinBurgundyDISC,EBTWBRMAINA,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” BURGUNDY - 50% OFF",Twin - $9.97,Burgundy,9.97,9.95,yes,10
86,MainOfferFreeShippingTwinWhiteDISC,MaintwinWhite,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” WHITE - 50% OFF",Twin - $9.97,White,9.97,9.95,yes,10
87,MainOfferFreeShippingTwinLavenderDISC,MaintwinLav,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” LAVENDER - 50% OFF",Twin - $9.97,Lavender,9.97,9.95,yes,10
88,MainOfferFreeShippingTwinDarkGrayDISC,EBTWDKGRAY,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” DARK GRAY - 50% OFF",Twin - $9.97,Dark Gray,9.97,9.95,yes,10
89,MainOfferFreeShippingTwinSageGreenDISC,EBTWSGGREEN,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” SAGE GREEN - 50% OFF",Twin - $9.97,Sage Green,9.97,9.95,yes,10
90,MainOfferFreeShippingTwinSandShellDISC,EBTWSDSHELL,Twin,"Twin Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-75” X D-16”, (2)  pillow cases 20” x 30” SAND SHELL - 50% OFF",Twin - $9.97,Sand Shell,9.97,9.95,yes,10
91,MainOfferFreeShippingTwinXLCreamDISC,MaintwinxlCream,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” CREAM - 50% OFF",Twin XL - $19.97,Cream,19.97,9.95,yes,10
92,MainOfferFreeShippingTwinXLCamelDISC,MaintwinXLCamel,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” CAMEL - 50% OFF",Twin XL - $19.97,Camel,19.97,9.95,yes,10
93,MainOfferFreeShippingTwinXLBrownDISC,MaintwinXLBrown,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” BROWN - 50% OFF",Twin XL - $19.97,Brown,19.97,9.95,yes,10
94,MainOfferFreeShippingTwinXLBlueDISC,MaintwinXLBlue,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” BLUE - 50% OFF",Twin XL - $19.97,Blue,19.97,9.95,yes,10
