ID,Name,SKU,Type,Short description,Shipping class,Price,Shipping Price,Shipping counts for each unit (Yes/No),Max Quantity Per Order
140,MainOfferFreeShippingCaSandShellDISC,MainCASDSHELL,California King,California King - $39.97,Sand Shell,3997,995,yes,10
141,BlanketTwin/TwinXLPinkLeopardDISC,TwinBlankPL,Twin/Twin XL,Twin/Twin XL - $39.97,Pink Leopard Blanket,3997,995,yes,10
142,BlanketFullPinkLeopardDISC,FullBlankPL,Full,Full - $39.97,Leopard,3997,995,yes,10
143,BlanketQueenPinkLeopardDISC,QueenBlankL,Queen,Queen - $39.97,Leopard,3997,995,yes,10
144,BlanketKingPinkLeopardDISC,KingBlankL,King,King - $44.97,Leopard,4497,995,yes,10
145,BlanketCAKingPinkLeopardDISC,CABlankL,California King,California King - $44.97,Leopard,4497,995,yes,10
146,BlanketTwin/TwinXLSandShellDISC,TwinBlankSand,Twin/Twin XL,Twin/Twin XL - $39.97,Sand,3997,995,yes,10
147,BlanketFullSandShellDISC,FullBlankSand,Full,Full - $39.97,Sand,3997,995,yes,10
148,BlanketQueenSandShellDISC,QueenBlankSand,Queen,Queen - $39.97,Sand,3997,995,yes,10
149,BlanketKingSandShellDISC,KingBlankSand,King,King - $44.97,Sand,4497,995,yes,10
150,BlanketCAKingSandShellDISC,CABlankSand,California King,California King - $44.97,Sand,4497,995,yes,10
151,BlanketTwin/TwinXLBlueDISC,TwinBlankBlue,Twin/Twin XL,Twin/Twin XL - $39.97,Blue,3997,995,yes,10
152,BlanketFullBlueDISC,FullBlankBlue,Full,Full - $39.97,Blue,3997,995,yes,10
153,BlanketQueenBlueDISC,QueenBlankBlue,Queen,Queen - $39.97,Blue,3997,995,yes,10
154,BlanketKingBlueDISC,KingBlankBlue,King,King - $44.97,Blue,4497,995,yes,10
155,BlanketCAKingBlueDISC,CABlankBlue,California King,California King - $44.97,Blue,4497,995,yes,10
156,ChamberPillowQueenMD,CPQMMAIN,Standard/Queen - Medium,Standard/Queen - Medium - $89.95,Pillow,$ 89.95,$ 9.95,yes,10
157,ChamberPillowKingMD,CPKMMAIN,King - Medium,King - Medium - $109.95,Pillow,$ 109.95,$ 9.95,yes,10
158,ChamberPillowQueenFRM,CPQFMAIN,Standard/Queen - Firm,Standard/Queen - Firm - $89.95,Pillow,$ 89.95,$ 9.95,yes,0
159,ChamberPillowKingFRM,CPKFMAIN,King - Firm,King - Firm - $109.95,Pillow,$ 109.95,$ 9.95,yes,10
160,PillowProtectorQueen,PPQMAIN,Standard/Queen,Standard/Queen - $24.95,Protector,$ 24.95,$ 9.95,yes,10
161,PillowProtectorKing,PPKMAIN,King,King - $34.95,Protector,$ 34.95,$ 9.95,yes,10
162,PillowCaseQueen,PCQMAIN,Standard/Queen,Standard/Queen - $24.95,Case,$ 24.95,$ 9.95,yes,10
163,ThrowPillowStandard,TPSMAIN,"Standard/20"" x 26""","Standard/20"" x 26"" - $29.95",Pillow,$ 29.95,$ 9.95,yes,10
164,ThrowPillowQueen,TPQMAIN,"Queen/20"" x 30""","Queen/20"" x 30"" - $34.95",Pillow,$ 34.95,$ 9.95,yes,10
165,ThrowPillowKing,TPKMAIN,"King/20"" x 36""","King/20"" x 36"" - $39.95",Pillow,$ 39.95,$ 9.95,yes,10
166,ChamberPillowQueenMDDISC,CPQMMAIN,Standard/Queen - Medium,Standard/Queen - Medium - $44.97,Pillow,$ 44.97,$ 9.95,yes,10
167,ChamberPillowKingMDDISC,CPKMMAIN,King - Medium,King - Medium - $54.97,Pillow,$ 54.97,$ 9.95,yes,10
168,ChamberPillowQueenFRMDISC,CPQFMMAIN,Standard/Queen - Firm,Standard/Queen - Firm - $44.97,Pillow,$ 44.97,$ 9.95,yes,10
169,ChamberPillowKingFRMDISC,CPQFMAIN,King - Firm,King - Firm - $54.97,Pillow,$ 54.97,$ 9.95,yes,10
170,PillowProtectorQueenDISC,PPQMAIN,Standard/Queen,Standard/Queen - $12.47,Protector,$ 12.47,$ 9.95,yes,10
171,PillowProtectorKingDISC,PPKMAIN,King,King - $17.47,Protector,$ 17.47,$ 9.95,yes,10
172,PillowCaseQueenDISC,PCQMAIN,Standard/Queen,Standard/Queen - $12.47,Case,$ 12.47,$ 9.95,yes,10
173,ThrowPillowStandardDISC,TPSMAIN,"Standard/20"" x 26""","Standard/20"" x 26"" - $14.97",Pillow,$ 14.97,$ 9.95,yes,10
174,ThrowPillowQueenDISC,TPQMAIN,"Queen/20"" x 30""","Queen/20"" x 30"" - $17.47",Pillow,$ 17.47,$ 9.95,yes,10
175,ThrowPillowKingDISC,TPKMAIN,"King/20"" x 36""","King/20"" x 36"" - $19.47",Pillow,$ 19.97,$ 9.95,yes,10
176,MainOfferTwinWhite,EGYTWINWHITE,Twin,Twin - $124.95,White,$ 124.95,995,yes,1
177,MainOfferTwinXLWhite,EGYTWINXLWHITE,Twin XL,TwinXL - $129.95,White,$ 129.95,995,yes,0
178,MainOfferKingWhite,EGYKNGWHITE,King,King - $179.95,White,$ 179.95,995,yes,1
