ID,Name,SKU,Type,Short description,Shipping class,Price,Shipping Price,Shipping counts for each unit (Yes/No),Max Quantity Per Order
228,BlanketCAKingDarkGray,CABLANKDKGRAY,CA King,CA King - $89.95,Dark Gray,$ 89.95,995,yes,0
229,BlanketTwin/TwinXLDarkGrayDISC,TWINBLANKDKGRAY,Twin/Twin XL,Twin/TwinXL - $35.97,Dark Gray,$ 35.97,995,yes,10
230,BlanketFullDarkGraydDISC,FULLBLANKDKGRAY,Full,Full - $35.97,Dark Gray,$ 35.97,995,yes,10
231,BlanketQueenDarkGrayDISC,QUEENBLANKDKGRAY,Queen,Queen - $35.97,Dark Gray,$ 35.97,995,yes,10
232,BlanketKingDarkGrayDISC,KINGBLANKDKGRAY,King,King - $44.97,Dark Gray,$ 44.97,995,yes,10
233,BlanketCAKingDarkGrayDISC,CABLANKDKGRAY,CA King,CA King -$44.97,Dark Gray,$ 44.97,995,yes,10
234,BlanketTwin/TwinXLGardenia,TWINBLANKGARDENIA,Twin/Twin XL,Twin/TwinXL - $79.95,Gardenia,$ 79.95,995,yes,1
235,BlanketFullGardenia,FULLBLANKGARDENIA,Full,Full - $79.95,Gardenia,$ 79.95,995,yes,1
236,BlanketQueenGardenia,QUEENBLANKGARDENIA,Queen,Queen - $79.95,Gardenia,$ 79.95,995,yes,1
237,BlanketKingGardenia,KINGBLANKGARDENIA,King,King - $89.95,Gardenia,$ 89.95,995,yes,0
238,BlanketCAKingGardenia,CABLANKGARDENIA,CA King,CA King - $89.95,Gardenia,$ 89.95,995,yes,1
239,BlanketTwin/TwinXLGardeniaDISC,TWINBLANKGARDENIA,Twin/Twin XL,Twin/TwinXL - $35.97,Gardenia,$ 35.97,995,yes,10
240,BlanketFullGardeniaDISC,FULLBLANKGARDENIA,Full,Full - $35.97,Gardenia,$ 35.97,995,yes,10
241,BlanketQueenGardeniaDISC,QUEENBLANKGARDENIA,Queen,Queen - $35.97,Gardenia,$ 35.97,995,yes,10
242,BlanketKingGardeniaDISC,KINGBLANKGARDENIA,King,King - $44.97,Gardenia,$ 44.97,995,yes,10
243,BlanketCAKingGardeniaDISC,CABLANKGARDENIA,CA King,CA King -$44.97,Gardenia,$ 44.97,995,yes,10
244,BlanketTwin/TwinXLSageGreen,TWINBLANKSAGEGREEN,Twin/Twin XL,Twin/TwinXL - $79.95,Sage Green,$ 79.95,995,yes,1
245,BlanketFullSageGreen,FULLBLANKSAGEGREEN,Full,Full - $79.95,Sage Green,$ 79.95,995,yes,1
246,BlanketQueenSageGreen,QUEENBLANKSAGEGREEN,Queen,Queen - $79.95,Sage Green,$ 79.95,995,yes,1
247,BlanketKingSageGreen,KINGBLANKSAGEGREEN,King,King - $89.95,Sage Green,$ 89.95,995,yes,1
248,BlanketCAKingSageGreen,CABLANKSAGEGREEN,CA King,CA King - $89.95,Sage Green,$ 89.95,995,yes,1
249,BlanketTwin/TwinXLSageGreenDISC,TWINBLANKSAGEGREEN,Twin/Twin XL,Twin/TwinXL - $35.97,Sage Green,$ 35.97,995,yes,10
250,BlanketFullSageGreenDISC,FULLBLANKSAGEGREEN,Full,Full - $35.97,Sage Green,$ 35.97,995,yes,10
251,BlanketQueenSageGreenDISC,QUEENBLANKSAGEGREEN,Queen,Queen - $35.97,Sage Green,$ 35.97,995,yes,10
252,BlanketKingSageGreenDISC,KINGBLANKSAGEGREEN,King,King - $44.97,Sage Green,$ 44.97,995,yes,10
253,BlanketCAKingSageGreenDISC,CABLANKSAGEGREEN,CA King,CA King -$44.97,Sage Green,$ 44.97,995,yes,10
